0.7475,0.63188,0.85922
0.50082,0.46097,0.89858
0.58716,0.72244,0.78372
0.60676,0.71228,0.80729
0.60961,0.63871,0.81716
0.62059,0.66657,0.82092
0.55999,0.80613,0.77309
0.3911,0.69981,0.77537
0.25576,0.29954,0.58311
0.24828,0.29549,0.52082
0.48763,0.04738,0.41249
0.60603,0.42415,0.86179
0.69631,0.59848,0.66085
0.69299,0.62348,0.87429
0.46804,0.62021,0.78376
0.16316,0.17664,0.43572
0.48157,0.15542,0.13912
0.48242,0.15655,0.14147
0.55721,0.86982,0.77866
0.65017,0.47026,0.40428
0.68183,0.73468,0.86915
0.65446,0.38259,0.32515
0.65105,0.40177,0.31348
0.71435,0.67054,0.8641
0.5903,0.24915,0.42414
0.57712,0.24694,0.42252
0.09779,0.23932,0.28197
0.34246,0.15703,0.46965
0.3339,0.15835,0.45882
0.426,0.20376,0.27053
0.61772,0.34126,0.79456
0.57722,0.13891,0.38352
0.612,0.0966,0.35492
0.72463,0.66174,0.86516
0.44194,0.90962,0.7631
0.27439,0.14894,0.40957
0.36277,0.18513,0.42151
0.50015,0.33844,0.55114
0.57706,0.38008,0.44773
0.38978,0.26052,0.64827
0.40742,0.25153,0.19309
0.21908,0.47034,0.42214
0.38605,0.19692,0.43515
0.55033,0.3543,0.51647
0.38247,0.23925,0.18303
0.38321,0.23982,0.18771
0.38338,0.88626,0.77179
0.68105,0.78141,0.83218
0.36502,0.27384,0.59007
0.72086,0.48722,0.37215
0.32802,0.18543,0.42444
0.33478,0.17691,0.42165
0.36697,0.26562,0.5931
0.32456,0.17777,0.41599
0.42859,0.47297,0.41656
0.30576,0.22739,0.45589
0.36319,0.16916,0.48636
0.34436,0.17387,0.43176
0.32349,0.19097,0.39202
0.40866,0.20641,0.47192
0.16831,0.25855,0.27502
0.75959,0.4463,0.75809
0.56079,0.55306,0.19308
0.52991,0.42026,0.86286
0.33393,0.18094,0.41343
0.69669,0.32649,0.36589
0.40821,0.33376,0.60746
0.37918,0.25711,0.6512
0.38014,0.20905,0.45328
0.30561,0.13808,0.41505
0.18941,0.22593,0.39788
0.42985,0.33695,0.07365
0.40079,0.27471,0.13542
0.51171,0.38593,0.36277
0.51463,0.17263,0.17058
0.65398,0.41427,0.38242
0.60317,0.65374,0.79845
0.64987,0.34199,0.33277
0.21813,0.18197,0.41268
0.48798,0.59597,0.36826
0.52658,0.46648,0.37513
0.65316,0.36932,0.32334
0.75006,0.7155,0.67534
